Posições selecionadas,Valores selecionados,Valores gerados,Valores simulados,Erros,Erros absolutos
"(467, 7096)",3.0,0.881533791013235,0.8835597789825902,-2.1164402210174096,2.1164402210174096
"(366, 2398)",3.5,0.9361915750256787,0.9333901600819794,-2.5666098399180206,2.5666098399180206
"(158, 2482)",3.5,0.6212332833956381,0.6501698146655527,-2.849830185334447,2.849830185334447
"(184, 1480)",5.0,2.374942397405441,2.372065520323046,-2.627934479676954,2.627934479676954
"(456, 1921)",2.0,3.7286591857253533,3.72666826884364,1.7266682688436399,1.7266682688436399
"(307, 238)",5.0,1.5819345305765031,1.5794965374789638,-3.420503462521036,3.420503462521036
"(504, 5355)",3.0,0.5,0.507280773085719,-2.4927192269142813,2.4927192269142813
"(104, 49)",4.0,1.1352810697689282,1.1193918223275783,-2.8806081776724217,2.8806081776724217
"(207, 1367)",4.0,3.732555927712509,3.7456446463507964,-0.2543553536492036,0.2543553536492036
"(218, 955)",4.0,3.100627692008019,3.106065850378617,-0.8939341496213831,0.8939341496213831
"(623, 8774)",2.0,0.5,0.500380432164227,-1.499619567835773,1.499619567835773
"(622, 6365)",5.0,1.2133718224124896,1.2303920425532227,-3.7696079574467776,3.7696079574467776
"(29, 2611)",4.0,1.9337036125812443,1.9351053927856026,-2.0648946072143977,2.0648946072143977
"(543, 985)",5.0,1.5090775392818172,1.5100227829754505,-3.4899772170245495,3.4899772170245495
"(439, 338)",3.0,1.8308443540856572,2.0962990231893714,-0.9037009768106286,0.9037009768106286
"(221, 826)",3.0,0.5,0.4903489872986588,-2.509651012701341,2.509651012701341
"(110, 1024)",4.5,1.6444671750816273,1.6417817834947652,-2.858218216505235,2.858218216505235
"(581, 1568)",4.0,2.9611857055003465,2.96059386871373,-1.03940613128627,1.03940613128627
"(533, 412)",3.0,0.8916529183074906,0.9015448880378478,-2.098455111962152,2.098455111962152
"(579, 131)",3.5,1.1095089430880767,1.1105289881362672,-2.3894710118637326,2.3894710118637326
"(645, 2147)",3.0,2.44615072192903,2.450639106483566,-0.5493608935164338,0.5493608935164338
"(399, 313)",4.0,2.610410505733808,2.7099687142066093,-1.2900312857933907,1.2900312857933907
"(212, 7992)",3.0,1.048808589330877,1.049889202690573,-1.950110797309427,1.950110797309427
"(293, 3228)",4.0,0.9989387756067252,0.999514016989973,-3.000485983010027,3.000485983010027
"(2, 472)",3.0,0.5592589805038566,0.5068913652018417,-2.4931086347981584,2.4931086347981584
"(14, 1364)",1.0,3.224369255993559,3.2217554881123744,2.2217554881123744,2.2217554881123744
"(293, 1708)",4.0,0.5,0.5003750591907546,-3.4996249408092455,3.4996249408092455
"(49, 403)",3.0,1.2794266954427975,1.6039413158717115,-1.3960586841282885,1.3960586841282885
"(508, 4605)",2.5,2.903319779317233,2.90266741052428,0.40266741052428,0.40266741052428
"(47, 7637)",4.0,0.5,0.5020761473225481,-3.497923852677452,3.497923852677452
"(508, 2804)",3.0,0.5,0.49956115401702106,-2.5004388459829787,2.5004388459829787
"(383, 6243)",2.0,0.5,0.5025921690565652,-1.4974078309434349,1.4974078309434349
"(364, 6606)",4.0,4.0042347203319375,3.9978324266337713,-0.0021675733662287477,0.0021675733662287477
"(430, 994)",4.5,2.6171760623151545,2.6137100470108265,-1.8862899529891735,1.8862899529891735
"(77, 5411)",3.5,0.5,0.5018449478136325,-2.9981550521863674,2.9981550521863674
"(211, 2185)",3.0,1.5543632423810658,1.555107301973973,-1.444892698026027,1.444892698026027
"(55, 4367)",4.0,0.5,0.4992424976075712,-3.5007575023924287,3.5007575023924287
"(129, 2367)",4.0,2.3445200538676154,2.3518598557222754,-1.6481401442777246,1.6481401442777246
"(404, 2398)",4.0,3.1493282703287706,3.1516856734074303,-0.8483143265925697,0.8483143265925697
"(3, 1523)",5.0,0.9256680340227195,0.9223670520230598,-4.07763294797694,4.07763294797694
"(467, 6645)",3.0,0.5,0.5015959707700532,-2.4984040292299468,2.4984040292299468
"(90, 7636)",4.5,1.7388399150670852,1.743341502360884,-2.756658497639116,2.756658497639116
"(462, 693)",3.0,0.556283716514514,0.547750696485354,-2.452249303514646,2.452249303514646
"(118, 1343)",1.0,1.2567145521775553,1.2567695583685492,0.2567695583685492,0.2567695583685492
"(212, 7264)",2.5,1.4585079425209855,1.4594818226698614,-1.0405181773301386,1.0405181773301386
"(573, 391)",3.5,0.8908265341636712,0.8773007609889797,-2.62269923901102,2.62269923901102
