Posições selecionadas,Valores selecionados,Valores gerados,Valores simulados,Erros,Erros absolutos
"(352, 6276)",3.0,0.948701981272048,0.9604714165816592,-2.039528583418341,2.039528583418341
"(332, 695)",4.5,3.626743971804211,3.6030766107991212,-0.8969233892008788,0.8969233892008788
"(528, 3043)",2.0,0.5,0.5182183628194654,-1.4817816371805346,1.4817816371805346
"(653, 314)",4.0,1.1864926923012118,1.1747144096991817,-2.825285590300818,2.825285590300818
"(482, 6123)",1.0,1.7041942491607094,1.6509248759014676,0.6509248759014676,0.6509248759014676
"(2, 2599)",3.0,0.5,2.444822454121393,-0.5551775458786068,0.5551775458786068
"(546, 1030)",4.5,1.3102003900224335,1.3058124237040427,-3.194187576295957,3.194187576295957
"(337, 37)",3.0,1.6263556866449853,2.4793223536538314,-0.5206776463461686,0.5206776463461686
"(576, 909)",5.0,1.5247153952982098,1.5517079510810199,-3.4482920489189803,3.4482920489189803
"(118, 1871)",4.0,0.8184020218653472,0.8476535390528528,-3.152346460947147,3.152346460947147
"(310, 955)",4.5,2.9026122600102227,2.9029727738099393,-1.5970272261900607,1.5970272261900607
"(305, 2164)",4.0,1.1960022221162558,1.2170760146029551,-2.782923985397045,2.782923985397045
"(451, 1975)",4.0,2.3607063877839796,2.3584957011998053,-1.6415042988001947,1.6415042988001947
"(204, 8879)",2.0,1.3065877254823344,1.335576374013087,-0.664423625986913,0.664423625986913
"(253, 873)",4.0,0.5,1.0886743653835116,-2.9113256346164884,2.9113256346164884
"(60, 1645)",2.5,1.380584990693783,1.4872396952081768,-1.0127603047918232,1.0127603047918232
"(162, 406)",4.0,0.5260841931165751,0.6896719981571611,-3.310328001842839,3.310328001842839
"(25, 7119)",5.0,0.5,0.6833673438219475,-4.316632656178053,4.316632656178053
"(663, 8339)",3.0,0.6286224180432823,0.6765233913010102,-2.3234766086989898,2.3234766086989898
"(438, 1834)",4.0,0.5,0.5435282830839253,-3.4564717169160746,3.4564717169160746
"(532, 2161)",2.0,3.3286605911504425,3.231824102010319,1.2318241020103189,1.2318241020103189
"(653, 1257)",3.5,4.1309864443422,4.127669885457727,0.6276698854577267,0.6276698854577267
"(452, 1564)",4.0,1.686285557905708,2.201770343612903,-1.7982296563870972,1.7982296563870972
"(563, 261)",2.0,0.9828122436146756,0.9786617540416358,-1.0213382459583642,1.0213382459583642
"(416, 1253)",4.0,1.3780861592523586,1.3174047742388597,-2.6825952257611405,2.6825952257611405
"(546, 8634)",4.0,3.0534543856292813,3.053191180972138,-0.9468088190278618,0.9468088190278618
"(132, 2342)",3.0,0.5,0.5619837636639184,-2.4380162363360816,2.4380162363360816
"(536, 859)",5.0,3.602040871658861,3.58161351602792,-1.4183864839720801,1.4183864839720801
"(471, 1763)",3.0,0.5,0.49178760682306083,-2.5082123931769393,2.5082123931769393
"(212, 6356)",1.5,0.5,0.5184665094216663,-0.9815334905783337,0.9815334905783337
"(244, 880)",2.0,0.5,0.44018181226443504,-1.559818187735565,1.559818187735565
"(504, 730)",3.0,0.5,0.48918430345065045,-2.5108156965493498,2.5108156965493498
"(357, 2048)",1.0,0.8702728066932496,0.8788519669080908,-0.12114803309190925,0.12114803309190925
"(456, 8588)",3.5,0.5,0.48272253043739427,-3.0172774695626057,3.0172774695626057
"(29, 2361)",3.0,1.063282033045104,1.081550022403265,-1.918449977596735,1.918449977596735
"(563, 2117)",1.0,2.2891510041411025,2.2911642679507724,1.2911642679507724,1.2911642679507724
